road,chainage,lat,lon,model_type,name,length,condition,id
N1,37.607,23.5307493,90.7082778,link,Km post missing,1.0,,1000185
N1,37.685,23.5307771,90.7090278,bridge,Daudkandi bridge,0.07800000000000296,A,1000186
N1,38.04,23.5313882,90.7153611,link,Start of Comilla road Division / Start of Comilla road Division,0.3549999999999969,,1000187
N1,38.466,23.5314716,90.7172216,link,Road to Matlab (Z1062),0.42600000000000193,,1000188
N1,38.543,23.5315271,90.7173604,bridge,Bridge start,0.07699999999999818,A,1000189
N1,38.56,23.5315827,90.7176104,bridge,Bridge end,0.017000000000003013,A,1000190
N1,38.607,23.5317216,90.7180271,link,Km post missing,0.046999999999997044,,1000191
N1,39.12,23.5322346,90.7226298386,bridge,Box culvert,0.5129999999999981,A,1000192
N1,39.304,23.5324186,90.7242807234,bridge,Baldhakhal Bridge,2.294000000000004,C,1000193
N1,39.607,23.5327216,90.7269993,link,Km post missing,0.4870000000000019,,1000195
N1,39.86,23.5317587831999,90.7291780095,bridge,MAIS PARA BOX CULVERT,4.451999999999998,B,1000196
N1,40.607,23.528916,90.7356108,link,Km post missing,1.0,,1000197
N1,41.261,23.5289993,90.7419441,link,Ctg 214 km,0.6540000000000035,,1000198
N1,42.228,23.5293882,90.7514167,bridge,Bridge start,0.9669999999999987,A,1000199
N1,42.245,23.5293882,90.7515833,bridge,Bridge end,0.016999999999995907,A,1000200
N1,42.269,23.529416,90.75175,link,Km post broken,0.02400000000000091,,1000201
N1,42.936,23.5298050611,90.75825325,bridge,SHAHID NAGIR,3.631999999999998,C,1000202
N1,43.269,23.5299993,90.7615,link,Km post Missing,1.0,,1000204
N1,44.269,23.5304438,90.7713049,link,Km post Missing,1.0,,1000205
N1,44.454,23.5304993,90.7731104,bridge,Box culvert,0.18500000000000227,A,1000206
N1,45.164,23.5307655282208,90.7800797251533,bridge,SARKAR BARI CULVERT,2.2280000000000015,C,1000207
N1,45.269,23.5308049,90.7811104,link,Km post Missing,0.8149999999999977,,1000208
N1,45.322,23.5307493,90.7816104,link,"Z1402, road to Pennai",0.05300000000000438,,1000209
N1,45.388,23.530666,90.7821938,link,"Z1053, Road to Homna",0.0659999999999954,,1000210
N1,46.161,23.5312216,90.7895552,bridge,Box culvert,0.7730000000000032,A,1000211
N1,46.269,23.531166,90.7907219,link,Km post Missing,0.10799999999999699,,1000212
N1,46.871,23.5308683409424,90.7918075171727,bridge,AMIRABATH SLAB CULVERT,1.7070000000000007,C,1000213
N1,47.224,23.5306938,90.7924441,link,Z1044,0.9549999999999983,,1000214
N1,47.269,23.5308604,90.8002222,link,Km post Missing,0.045000000000001705,,1000215
N1,47.672,23.5308882,90.8041389,bridge,Bridge start,0.4029999999999987,A,1000216
N1,47.692,23.530916,90.8043611,bridge,Bridge end,0.020000000000003126,A,1000217
N1,48.269,23.5316382,90.8099167,link,Km post Missing,0.5769999999999982,,1000218
N1,48.384,23.5318234765,90.8110155135,bridge,Ginlatoly bridge,11.374000000000002,A,1000219
N1,49.269,23.5332493,90.8194716,link,Km post Missing,1.0,,1000221
N1,49.863,23.5346663,90.8249716,bridge,Bridge start,0.5940000000000012,A,1000222
N1,49.879,23.5347219,90.8251104,bridge,Bridge end,0.015999999999998238,A,1000223
N1,50.269,23.5344997,90.8287216,link,Km post Missing,0.39000000000000057,,1000224
N1,50.558,23.5329743291,90.8309774761999,bridge,RAIPUR BOX CULVERT,2.1739999999999995,A,1000225
N1,51.269,23.5292216,90.8365274,link,Km post Missing,1.0,,1000226
N1,51.636,23.5270549,90.8391386,bridge,Box culvert,0.36700000000000443,A,1000227
N1,52.269,23.523166,90.8438886,link,Km post Missing,0.6329999999999956,,1000228
N1,52.313,23.5229166652,90.8442186132,bridge,AITAL BANGA BOX CULVERT,3.929000000000002,C,1000229
N1,53.269,23.5174993,90.8513889,link,Km post Missing,1.0,,1000230
N1,54.269,23.5170827,90.8607778,link,Km post Missing,1.0,,1000231
N1,55.269,23.5135833,90.8697771,link,Km post Missing,1.0,,1000232
N1,55.333,23.5133056,90.8703049,bridge,Bridge start,0.06400000000000006,A,1000233
N1,55.375,23.5131111,90.8706382,bridge,Bridge end,0.04200000000000159,A,1000234
N1,55.477,23.5126667,90.871416,link,"Z1042, road to Bancharampur",0.10199999999999676,,1000235
N1,56.006,23.510087758207,90.8757204035353,bridge,Illiot bazar Bridge,3.692999999999998,C,1000236
N1,56.269,23.5088056,90.8778604,link,Km post Missing,0.7920000000000016,,1000238
N1,57.269,23.506,90.8869163,link,Km post Missing,1.0,,1000239
N1,58.191,23.5056111,90.8958886,bridge,Box culvert,0.9220000000000041,A,1000240
N1,58.269,23.5056389,90.8966108,link,Km post Missing,0.07799999999999585,,1000241
N1,58.838,23.5060024341,90.9021745389,bridge,KHAT GHOR BOX CULVERT,2.8320000000000007,B,1000242
N1,59.269,23.5062778,90.9063889,link,Km post Missing,1.0,,1000243
N1,60.18,23.50575,90.91525,bridge,Box culvert,0.9110000000000014,A,1000244
N1,60.269,23.5057222,90.9160278,link,Km post Missing,0.08899999999999864,,1000245
