link_no,name,length,traffic,criticality,start_node,end_node,start_betweenness,end_betweenness,avg_betweenness,traffic_weight
N8-4,Int. with N802- Baorvita (Int.with Z5069),5.927,13474.0,6.423467161789587e-06,LRP004c_0,LRP010_475,2.8810971217839754e-05,3.7042677280079685e-05,3.292682424895972e-05,0.19508310650373545
N8-5,Baorvita (Int.with Z5069)-Nimtali (Int.with Z8005),5.32,8272.0,4.888315399965128e-06,LRP010_475,LRP015_795,3.7042677280079685e-05,4.4588407837132956e-05,4.081554255860632e-05,0.11976602768286326
N8-6,Nimtali (Int.with Z8005)-Int.with Z8203,2.455,9362.0,6.508762199122984e-06,LRP015_795,LRP018_250,4.4588407837132956e-05,5.144816288899956e-05,4.801828536306626e-05,0.1355475763016158
N8-7,Int.with Z8203-Int.with Z8003 (Hashara),0.402,6313.0,4.984649728634816e-06,LRP018_250,LRP018_652,5.144816288899956e-05,5.762194243567951e-05,5.4535052662339535e-05,0.0914026756240227
N8-8,Int.with Z8003 (Hashara)-Srinagar(Int.with R820),6.368,6557.0,5.730857156726505e-06,LRP018_652,LRP025_20,5.762194243567951e-05,6.31097464771728e-05,6.0365844456426154e-05,0.09493542595702785
N8-9,Srinagar (Int.with R820)-Mawa (Int. with R812),8.499,6557.0,6.219282482583878e-06,LRP025_20,LRP032_1519,6.31097464771728e-05,6.791157501347943e-05,6.551066074532612e-05,0.09493542595702785
N8-10,Mawa (Int.with R812)-Mawa ferryghat,1.131,6557.0,6.642584431660267e-06,LRP032_1519,LRP032_2650,6.791157501347943e-05,7.202742804459938e-05,6.99695015290394e-05,0.09493542595702785
N8-11,Mawa ferryghat (west)-Panchar (int.with Z8011),13.61,7263.0,7.754543495154806e-06,LRP032_2650,LRP048_260,7.202742804459938e-05,7.54573055705327e-05,7.374236680756604e-05,0.10515723634678867
N8-12,Panchar (int.with Z8011)-Tarail (int.with Z7108),11.05,4783.0,5.320471625448449e-06,LRP048_260,LRP059_310,7.54573055705327e-05,7.820120759127934e-05,7.682925658090601e-05,0.06925059361788383
N8-13,Tarail (int.with Z7108)-Bhanga (int.with N805 & N804),8.485,6873.0,7.884243994984432e-06,LRP059_310,LRP066_1795,7.820120759127934e-05,8.025913410683931e-05,7.923017084905933e-05,0.09951062720796895
N8-14,Bhanga (int.with N805)-Baraitola (int.with Z8021),9.596,4783.0,5.605496891097473e-06,LRP066_1795,LRP077_770,8.025913410683931e-05,8.163108511721264e-05,8.094510961202598e-05,0.06925059361788383
N8-15,Baraitola (int.with Z8021)-Takerhat (int.with R850),9.804,5084.0,6.033998182517136e-06,LRP077_770,LRP087_735,8.163108511721264e-05,8.23170606223993e-05,8.197407286980597e-05,0.07360861759425494
N8-16,Takerhat (int.with R850)-Mostofapur (int.with R860),15.725,6873.0,8.191422332451358e-06,LRP087_735,LRP102_1490,8.23170606223993e-05,8.23170606223993e-05,8.23170606223993e-05,0.09951062720796895
N8-17,Mostofapur (int.with R860)-Int.with Z8603,7.678,5084.0,6.033998182517136e-06,LRP102_1490,LRP111_257,8.23170606223993e-05,8.163108511721264e-05,8.197407286980597e-05,0.07360861759425494
N8-18,Int.with Z8603-Bhurghata (int.with Z8604),3.975,5163.0,6.050842661245296e-06,LRP111_257,LRP115_233,8.163108511721264e-05,8.025913410683931e-05,8.094510961202598e-05,0.0747524179069902
N8-19,Bhurghata (int.with Z8604)-Gouranadi (int.with Z8031),11.862,5163.0,5.922646842151116e-06,LRP115_233,LRP126_1015,8.025913410683931e-05,7.820120759127934e-05,7.923017084905933e-05,0.0747524179069902
N8-20,Gouranadi (int.with Z8031)-Shikerpur (int.with Z8038),17.62,6378.0,7.0947037480891075e-06,LRP126_1015,LRP144_465,7.820120759127934e-05,7.54573055705327e-05,7.682925658090601e-05,0.09234377714715931
