Road;Scenario;Seed;Average_driving_time;Total_waiting_time;Average_waiting_time
N1;8;1234567;0;67968;0
N1;8;1234567;0;68132;0
N1;8;1234567;0;68298;0
N1;8;1234567;0;68466;0
N1;8;1234567;0;68632;0
N1;8;1234567;0;68797;0
N1;8;1234567;0;68961;0
N1;8;1234567;0;69124;0
N1;8;1234567;0;69283;0
N1;8;1234567;0;69439;0
N1;8;1234567;0;69598;0
N1;8;1234567;0;69758;0
N1;8;1234567;0;69917;0
N1;8;1234567;0;70076;0
N1;8;1234567;0;70238;0
N1;8;1234567;0;70402;0
N1;8;1234567;0;70568;0
N1;8;1234567;0;70735;0
N1;8;1234567;0;70903;0
N1;8;1234567;0;71069;0
N1;8;1234567;0;71233;0
N1;8;1234567;0;71397;0
N1;8;1234567;0;71561;0
N1;8;1234567;0;71726;0
N1;8;1234567;0;71893;0
