road,name,chainage,condition,model_type,length,lat,lon
N1,DUKHIN UTHPAR BOX CULVERT,191.107,A,bridge,1.9770000000000039,22.701816503937,91.6149734608923
N1,VANGGARPOL BOX CULVERT,192.408,A,bridge,1.3009999999999877,22.6912517148148,91.6201690574074
N1,BORO KAMALDA BOX CULVERT,192.95,A,bridge,0.5420000000000016,22.6868697647058,91.6220385823529
N1,TARAT BOX CULVERT,194.149,A,bridge,1.1990000000000123,22.6769772991044,91.6268169453731
N1,Tarial Bazar Culvert,194.998,A,bridge,0.8489999999999895,22.6699594391304,91.6293531695652
N1,MIRJA PUR (3) BOX CULVERT,195.501,A,bridge,0.5030000000000143,22.6657838981081,91.6311293581081
N1,SATU DURUAR HAT BOX CULVERT,196.038,A,bridge,0.5370000000000061,22.6615956814814,91.6335257425926
N1,RONA SORA CULVERT,196.925,A,bridge,0.8870000000000005,22.6547124294117,91.6379261764705
N1,NUNA CHARA BOX CULVERT,197.39,A,bridge,0.464999999999975,22.6510709547445,91.6400341194647
N1,BOTTOL BOX CULVERT,197.846,A,bridge,0.4560000000000173,22.6474561112311,91.6419171170626
N1,KACHAI PATH BOX CULVERT,199.279,A,bridge,1.4329999999999927,22.636096590965,91.648209240657
N1,KACHAI POTTI BOX CULVERT,199.502,A,bridge,0.2230000000000132,22.6343285718685,91.6492077265913
N1,EGOL PUR BOX CULVERT,200.277,A,bridge,0.7749999999999773,22.6281666352941,91.6527578258312
N1,SITAKUNDA SLAB,200.918,A,bridge,0.6410000000000196,22.6230461711711,91.6554672531531
N1,MOHADAB PUR BOX CULVERT,201.52,A,bridge,0.6020000000000039,22.6177563490118,91.6580589438735
N1,PURBOMOHADAB PUR SLAB CULVERT(L),201.999,A,bridge,0.478999999999985,22.6149899686274,91.6602670503268
N1,DULAHAJRA(R),201.999,A,bridge,0.0,22.6149899686274,91.6602670503268
N1,MADICAL MORE CULVERT,202.435,A,bridge,0.43600000000000705,22.6117556741935,91.6625686731182
N1,DOKHIN MOHADEB PUR BOX CULVERT,203.457,A,bridge,1.0219999999999914,22.6038394411764,91.6673745588235
N1,HATILOTA BOX CULVERT,204.765,A,bridge,1.3079999999999927,22.5938881803921,91.6738889367647
N1,BAROGINDO CULVERT,206.3,A,bridge,1.535000000000025,22.5815086746355,91.6795390413994
N1,BARO-CUNDHOW BOX CULVERT,206.866,A,bridge,0.5660000000000025,22.5767930229508,91.68162274153
N1,PHPMORE BON CULVERT,207.64,A,bridge,0.7739999999999725,22.5702905930578,91.6840096656198
N1,CHARA KANDI BOX CULVERT,207.913,A,bridge,0.27300000000002456,22.5679968064462,91.6846866604958
N1,R. R TEXTAIL BOX CULVERT,208.1,A,bridge,0.1869999999999834,22.5664212916363,91.6851826636363
N1,OHIDPUR BOX CULVERT,209.024,A,bridge,0.9240000000000066,22.5585210862619,91.687506242492
N1,SOUTH BALSH KHALI BOX CULVERT,210.476,A,bridge,1.4519999999999982,22.5467727210909,91.6926260603636
N1,DOKHIN BASH-KHALI BOX CULVERT,210.776,A,bridge,0.30000000000001137,22.5444897756363,91.6941310785454
N1,SOTTANA MONDIR CULVERT,211.433,A,bridge,0.6569999999999823,22.5390300234693,91.6965452744898
N1,GULAM JUTE MILE BOX CULVERT,212.483,A,bridge,1.0500000000000114,22.5303678038461,91.7004641228571
N1,Chotokumir Bridge,214.807,A,bridge,2.323999999999984,22.5113471164122,91.7087907889313
N1,ROYL CIMINT GATE CULVETRT,215.467,A,bridge,0.660000000000025,22.5060220437735,91.7112848218867
N1,GORA MARA RCC GIRDER BRIDGE,216.196,A,bridge,0.728999999999985,22.5000858335766,91.7141504905109
N1,BARAOWLLA BOX CULVERT,217.942,A,bridge,1.7460000000000093,22.4855480068965,91.7195309517241
N1,HATIBORI BOX CULVERT,219.427,A,bridge,1.4849999999999852,22.4728530893544,91.7232633541336
N1,KODOM RASUL BOX CULVERT,222.357,A,bridge,2.930000000000007,22.4488628503871,91.7342823894358
N1,HASNA BAD BOX CULVERT,223.743,A,bridge,1.3859999999999957,22.4375035216216,91.7386659473513
N1,VATERIE BRIDGE,224.053,A,bridge,0.3100000000000023,22.4350737918918,91.7396527192432
N1,VATIARI CULVERT,228.029,A,bridge,3.975999999999999,22.4030145445,91.75657411625
N1,T. B HOSPITAL GATE BOX CULVERT,228.797,A,bridge,0.7680000000000007,22.3963398830265,91.7582551580777
N1,GAMMON BRIDGE,229.203,A,bridge,0.4060000000000059,22.3927175345622,91.7590882138248
N1,PAKKA MATA BOX CULVERT,230.13,A,bridge,0.9269999999999925,22.38524588272,91.76250565776
N1,GLAXO BOX CULVERT,230.921,A,bridge,0.7909999999999968,22.3797011826666,91.7670476533333
N1,CORNAIL HAT BOX CULVERT,231.966,A,bridge,1.045000000000016,22.3696841276595,91.7739258709219
N1,Bakulia Bridge,242.898,A,bridge,10.931999999999988,22.3522674714754,91.852622049836
N1,RAJAKHALI RCC GIDER BRIDGE,244.975,A,bridge,2.076999999999998,22.3349153368556,91.8533979043814
N1,Sha Amanot Bridge,246.02,A,bridge,1.045000000000016,22.3266451369152,91.852759390139
N1,Shikalbaha Bridge,247.637,A,bridge,1.6169999999999902,22.3129265129032,91.856181916129
N1,SOUTH MITTACHORI,249.04,A,bridge,1.4029999999999916,22.3026235524271,91.8635646970873
N1,KADUMTOLI CULVERT,249.674,A,bridge,0.6340000000000146,22.2975350260563,91.866363031514
N1,ISLAMPUR CULVERT,250.215,A,bridge,0.5409999999999968,22.2932366309133,91.8684360651053
N1,NOLBILA CULVERT,250.519,A,bridge,0.30400000000000205,22.2916421411764,91.8702911411764
N1,SHIKALBAHA MORE,250.841,A,bridge,0.32200000000000273,22.2926079302013,91.8730201176733
N1,SHIKALBAHA BOX CULVERT,251.281,A,bridge,0.4399999999999977,22.2944653526717,91.876717971374
N1,Sikolbaha Bridge-1,251.538,A,bridge,0.257000000000005,22.2962698699619,91.8807528022813
N1,KUSUMPUR BOX CULVERT,254.333,A,bridge,2.7949999999999875,22.3035365502293,91.9044227217889
N1,tassi bazer(R),255.505,A,bridge,1.171999999999997,22.3083189877358,91.9142153009434
N1,MONSHA CULVERT,256.378,A,bridge,0.8729999999999905,22.3137546831094,91.9203176378118
N1,UTTOR SONAPUR,256.89,A,bridge,0.5120000000000005,22.3157468089473,91.9243524131578
N1,Pirol,257.94,A,bridge,1.0500000000000114,22.3137565607999,91.9339832312
N1,UZIRPUR HIGH SCHOOL,259.795,A,bridge,1.8550000000000182,22.3084394099236,91.9483886979643
N1,PALYA BUS STATION,264.369,A,bridge,4.574000000000012,22.2911451997412,91.9833668252263
N1,KHORNA CULVERT,267.818,A,bridge,3.4489999999999554,22.2710895749999,92.00559725
N1,MOJAFFARABAD,269.721,A,bridge,1.90300000000002,22.2549374824626,92.0103021287313
N1,MOJAFFORABAD BOX CULVERT,269.99,A,bridge,0.26900000000000546,22.2531199613981,92.0119718729483
N1,MOJAFFORABAD,270.642,A,bridge,0.6519999999999868,22.2487130149162,92.0158341025875
N1,ROWSONAT CUL,271.89,A,bridge,1.2479999999999905,22.24038615762,92.0217918336116
N1,KANCHANAGAR CUL,272.356,A,bridge,0.4660000000000082,22.2366345532374,92.0232647489208
N1,GASBAREA BOX CULVERT,273.878,A,bridge,1.5219999999999914,22.2222719897959,92.0273785979591
N1,GASBAREA COLLEGE BOX CULVERT,274.66,A,bridge,0.7820000000000391,22.2155873504854,92.0290230394174
N1,KATGOR CULVERT,284.134,A,bridge,9.47399999999999,22.1498523145631,92.0696330718446
N1,MOULOVER DOKAN,285.58,A,bridge,1.4459999999999695,22.1369522329341,92.0699301281437
N1,PATATR PULL CULVERT,286.08,A,bridge,0.5,22.1325208428571,92.0701565366459
N1,Pathanerpul Bridge,286.378,A,bridge,0.2980000000000018,22.1299160285714,92.0706024714285
N1,PATANER PULL(BRIDGE),286.378,A,bridge,0.0,22.1299160285714,92.0706024714285
N1,Noyakhalar Muk Bridge,286.631,A,bridge,0.2529999999999859,22.1277338010309,92.0710012276288
N1,NOYAKHALAR MUK,286.631,A,bridge,0.0,22.1277338010309,92.0710012276288
N1,NOYAKHALARMUK,287.144,A,bridge,0.5130000000000337,22.1230775989717,92.071701048329
N1,NOYA KHALAR MUK (KARANIERHAT) BOX CULVERT,287.487,A,bridge,0.34300000000001774,22.1204875006655,92.0719705134775
N1,KARANERHAT CULVERT,288.329,A,bridge,0.8419999999999845,22.1133524851063,92.0726869042553
N1,KARANERHAT CULVERT,289.889,A,bridge,1.5600000000000023,22.09827857,92.074800422
N1,KOACHIA(MADARBHI),290.719,A,bridge,0.8299999999999841,22.0935775004504,92.0805047995495
N1,MITADIGI ACADEMY,292.426,A,bridge,1.7069999999999936,22.0840668315789,92.093196937799
N1,MITADIGI,293.134,A,bridge,0.7080000000000268,22.080520608,92.0984855314285
N1,RAJGHATA BRIDGE,294.534,A,bridge,1.3999999999999773,22.0695600813559,92.1042754237288
N1,THAKUR DIGI BOX CULVERT,294.77,A,bridge,0.23599999999999,22.0679099558303,92.1055530035335
N1,Khoria Nagar Bridge,295.295,A,bridge,0.5250000000000341,22.0637567157894,92.1071061094736
N1,KHORIANAGAR BRIDGE,295.295,A,bridge,0.0,22.0637567157894,92.1071061094736
N1,NOYA PARA BOX CULVERT,295.625,A,bridge,0.3299999999999841,22.06088615,92.10773337
N1,PODUA NOYA PARA BOX CULVERT,296.135,A,bridge,0.5099999999999909,22.0565051155339,92.1090854592233
N1,PODUA BAZAR BOX CULVERT,296.647,A,bridge,0.5120000000000005,22.0519296419354,92.1090613887096
N1,PODUA BAZAR BOX CULVERT,297.034,A,bridge,0.38700000000000045,22.0483713234624,92.1081938519362
N1,BARO AWLIA(R),297.569,A,bridge,0.535000000000025,22.0440962566176,92.1070629529411
N1,TALOCKDNR PARA BOX CULVERT,298.405,A,bridge,0.8359999999999559,22.0375898525773,92.1039891092783
N1,TALOCKDAR PARA,298.405,A,bridge,0.0,22.0375898525773,92.1039891092783
N1,AMIRABAD BOX CULVERT,299.057,A,bridge,0.6520000000000437,22.031864884656,92.1041246666666
N1,Amirabad Bridge,299.434,A,bridge,0.37700000000000955,22.0287013636363,92.1034293272727
N1,AMIRABAD PC GIDER BRIDGE,299.434,A,bridge,0.0,22.0287013636363,92.1034293272727
N1,AMIRABAD LOHAGOR BOX CULVERT,299.756,A,bridge,0.3219999999999459,22.0260045474972,92.1026967443826
N1,AMIRABAD LOHAGORA BOX CULVERT,300.406,A,bridge,0.6500000000000341,22.0204980278439,92.1014277681473
N1,LOHAGORA L.S BOX CULVERT,302.237,A,bridge,1.8310000000000173,22.0078200503225,92.0927765812903
N1,DIGIRPARK BOX CULVERT,302.729,A,bridge,0.4919999999999618,22.0041726139784,92.0905686346236
N1,DIGIRPAR BOX CULVERT,303.237,A,bridge,0.5080000000000382,22.00042964,92.0883193766666
N1,ZADUNAGOR FILLING BOX CULVERT,303.782,A,bridge,0.5449999999999591,21.9958359641681,92.0874589126142
N1,ZADUNAPUR SHAPIR FILLING STATION -(2) BOX CULVERT,303.793,A,bridge,0.011000000000024102,21.9957410021937,92.0874460645338
N1,Khasmahal Bridge,304.217,A,bridge,0.42399999999997817,21.9922334387096,92.0863582073732
N1,KHASMOHAL ADUNAICR PC GIDER BRIDGE,304.217,A,bridge,0.0,21.9922334387096,92.0863582073732
N1,ZADUNAGOR BUS STATION BOX CULVERT,304.449,A,bridge,0.23200000000002774,21.990280244375,92.08568596625
N1,Aadunagor bridge,304.857,A,bridge,0.40800000000001546,21.9870408741379,92.0839943655172
N1,HATIAR PULL PC GIDER BRIDGE,305.527,A,bridge,0.6699999999999591,21.9819040437735,92.080773326415
N1,HATIAR PULL BOX CULVERT,305.794,A,bridge,0.2669999999999959,21.9804623633858,92.0788716271653
N1,SHIX DAR PARA BOX CULVERT,306.139,A,bridge,0.3450000000000273,21.979298574269,92.0758492263157
N1,MUSKAMPANI PARA BOX CULVERT,307.229,A,bridge,1.089999999999975,21.9738684029498,92.0683204789577
N1,AODU NAGOR (2) BOX CULVERT,307.981,A,bridge,0.7520000000000095,21.9689581196808,92.0641501117021
N1,Rataykul Bridge,308.652,A,bridge,0.6709999999999923,21.9622138572549,92.0633168764705
N1,RATAR KUL- SONTI BRIDGE,308.652,A,bridge,0.0,21.9622138572549,92.0633168764705
N1,BONPUKR PARA BOX CULVERT,309.038,A,bridge,0.3860000000000241,21.9592401112903,92.0652791298387
N1,BON PUKUL PARA BOX CULVERT,309.355,A,bridge,0.3170000000000073,21.9580321636363,92.0663932818182
N1,SANTI RCC GIDER BRIDGE,309.971,A,bridge,0.6159999999999854,21.9520795406909,92.0678138084453
N1,SANTI BOX CULVERT,310.723,A,bridge,0.7520000000000095,21.9453993720173,92.0669286609544
N1,BRICK FIELD BOX CULVERT,311.886,A,bridge,1.163000000000011,21.9360290154471,92.0625427235772
N1,BACK FILD BOX CULVERT,312.138,A,bridge,0.2519999999999527,21.9339454415019,92.0616661541501
N1,AZIZNAGOR FOREST BOX CULVERT,312.354,A,bridge,0.21600000000000819,21.9323086726114,92.0608009579617
N1,AZIZ NOGOR FOREST BOX CULVERT,312.609,A,bridge,0.25499999999999545,21.93038125,92.0596840375
N1,AZIZNAGOR BOX CULVERT,313.947,A,bridge,1.3380000000000223,21.9179119605128,92.0597362988034
N1,AZIZ NOGAR BOX CULVERT,314.144,A,bridge,0.19700000000000273,21.9167591663366,92.0599899313531
N1,AZIZ NAGOR 1,314.502,A,bridge,0.3580000000000041,21.9140727206278,92.0605472089686
N1,AZIZ NAGOR 2,315.009,A,bridge,0.507000000000005,21.909622912133,92.0605661266144
N1,HARBHANG CHOR,317.001,A,bridge,1.9919999999999618,21.8910236519337,92.0597010756906
N1,GHOIL MARA BOX CULVERT,318.11,A,bridge,1.1090000000000373,21.8812215213685,92.0590015447779
N1,HARBANG,318.796,A,bridge,0.6859999999999786,21.8751197401574,92.0591098413385
N1,HARBANG,320.189,A,bridge,1.393000000000029,21.8628351415656,92.0594848712238
N1,HARBANGCHORA,320.513,A,bridge,0.32399999999995543,21.8599725797297,92.0601907085585
N1,ALIPUR BOX CULVERT,321.305,A,bridge,0.79200000000003,21.8529287900552,92.0609576198894
N1,HARBANG,321.536,A,bridge,0.23099999999999454,21.8508595323144,92.0609491344978
N1,HAR BAG BOX CULVERT,322.5,A,bridge,0.9639999999999986,21.8429700741784,92.0635984638497
N1,HAR BAG BOX CULVERT,322.823,A,bridge,0.3229999999999791,21.8403935683229,92.0649325472049
N1,ATKOTA,323.619,A,bridge,0.7960000000000491,21.8341033152866,92.0682735910828
N1,AKOTA BAZAR BOX CULVERT,324.331,A,bridge,0.7119999999999891,21.8280258214285,92.0713035547619
N1,BODOI TOLA RCC GIDER BRIDGE,324.607,A,bridge,0.27600000000001046,21.8257831806122,92.0723466282313
N1,BODAITALI BOX CULVERT,325.153,A,bridge,0.5459999999999923,21.8211428750483,92.0740201388781
N1,BODOITOLI BOX CULVERT,325.49,A,bridge,0.3369999999999891,21.8181692602209,92.0739442353591
N1,BANIYAR CHORA,327.312,A,bridge,1.8220000000000027,21.8034238025641,92.0772322128205
N1,NOL BELA-1 BOX CULVERT,329.084,A,bridge,1.7719999999999914,21.787854008387,92.0788540064516
N1,NOL BELA BOX CULVERT,329.181,A,bridge,0.09699999999997999,21.786997484,92.0789493159999
N1,DIDDA BAZAR BOX CULVERT,330.931,A,bridge,1.75,21.7735339222222,92.0839144733333
N1,KUMARIKOOL BOX CULVERT,335.38,A,bridge,4.449000000000012,21.7385629191489,92.0831876319149
N1,PASIYAKALI BOX CULVERT,336.054,A,bridge,0.6739999999999782,21.7326068595588,92.0837488330882
