road,id,model_type,condition,name,lat,lon,length
N207,1001328,link,,Box Culvert,24.4125,91.7556389,0.0030000000000001137
N208,1001329,link,,Km post missing,24.7032778,91.9288327,0.02499999999999858
N2,1001330,link,,Km post missing,23.922666,90.7036389,0.030999999999998806
N1,1001331,link,,Daudkandi bridge,23.529916,90.6952219,0.005000000000002558
N102,1001332,link,,Box Culvert,23.7014722,91.0462219,0.05100000000000193
N104,1001333,bridge,A,ALIPUR BOX CULVERT,22.9406700125474,91.104453648309,0.009000000000000341
N104,1001334,link,,Box culvert,22.940109017831283,91.10441676780542,0.04099999999999682
N2,1001335,link,,Bridge start,23.9307216,90.7045833,0.05799999999999983
N2,1001336,link,,Bridge end,23.930916,90.70475,0.027999999999998693
N2,1001337,bridge,A,Basail Bridge,23.931131565594,90.7049377079207,0.030000000000001137
N208,1001339,link,,Box culvert,24.7055833,91.9287771,0.015000000000000568
N105,1001340,bridge,A,BASURA,23.9318303820895,90.4503186477612,0.018000000000000682
N1,1001341,link,,Km post missing,23.5301382,90.6984997,0.08599999999999852
N104,1001342,link,,Km post missing,22.9363052,91.1041667,0.04299999999999926
N106,1001343,bridge,C,Chukhar Mil Rcc Bridge,22.5486653716738,92.0123754300429,0.011000000000002785
N104,1001345,bridge,A,CONTRACTOR MOSJIDE BOX CULNERT,22.9362668298342,91.1041743657458,0.03900000000000148
N102,1001346,bridge,A,MOULSBI BARI CULVERT,23.7036148380368,91.0491655730061,0.0030000000000001137
N102,1001347,link,,Bridge start,23.7042222,91.05,0.10799999999999699
N106,1001348,bridge,A,RANGUNID,22.5497767287553,92.0132607725321,0.008000000000002672
N102,1001349,link,,Bridge End,23.7043333,91.0500833,0.009000000000000341
N102,1001350,bridge,A,BRAMMON PARA BOX CULVERT,23.7046022718562,91.050450066467,0.04899999999999949
N207,1001351,link,,Sylhet 69 km,24.4184993,91.7573056,0.018000000000000682
N105,1001353,link,,Box culvert,23.9340274,90.4473052,0.030999999999998806
N207,1001354,link,,Box Culvert,24.4192216,91.7575,0.056999999999995055
N102,1001355,link,,Bridge start,23.70525,91.0513333,0.012000000000000455
N102,1001356,link,,Bridge End,23.705345235164835,91.05145784945054,0.012000000000000455
N1,1001357,bridge,C,Daud Kandi Bridge,23.5303844733,90.7024402743,0.0030000000000001137
N104,1001359,link,,Box culvert,22.9360274,91.1042222,0.0020000000000024443
N2,1001360,bridge,B,VALARAGAR CULVERT,23.9349686331683,90.7082789089108,0.00999999999999801
N106,1001361,bridge,A,RAMGONA BOX CULVERT,22.5513393394799,92.0149879886524,0.04899999999999949
N102,1001362,link,,"B.Bara 35 km, Sylhet 213 km",23.7059722,91.0522778,0.015000000000000568
N104,1001363,bridge,C,DARMACHPUR CULVERT,22.9342244369685,91.104168539926,0.134999999999998
N207,1001364,bridge,C,CODUPUR BOX CULVERT,24.4213619662614,91.7581146066869,0.01300000000000523
N208,1001365,link,,Km post missing,24.7120833,91.9285827,0.0009999999999976694
N2,1001366,link,,Km post missing,23.9367219,90.7098056,0.030999999999998806
N207,1001367,link,,Box Culvert,24.4220271,91.7583056,0.045999999999999375
N105,1001368,link,,Box culvert,23.936333,90.4440552,0.036000000000001364
N102,1001369,bridge,C,MUDUPPUR BOX CULVERT,23.7077014655581,91.0544804755344,0.05000000000000426
N208,1001370,bridge,B,Elaspur Bridge,24.7140372792746,91.9284881404145,0.055999999999997385
N106,1001372,bridge,D,THANDHA CHOR ARCH MASONRY,22.5531626085714,92.0181951722448,0.03399999999999892
N102,1001373,link,,Bridge start,23.7083056,91.05525,0.01899999999999835
N102,1001374,link,,Bridge End,23.7083611,91.0553333,0.011000000000002785
N2,1001375,link,,Bridge start,23.9390552,90.7100278,0.011000000000002785
N104,1001376,link,,Box culvert,22.9313604,91.1040833,0.023999999999993804
N105,1001377,link,,Box Culvert,23.9383608,90.4414163,0.020000000000003126
N2,1001378,link,,Bridge end,23.9396386,90.71,0.020000000000003126
N1,1001379,link,,Km post missing,23.5307493,90.7082778,0.013999999999995794
N2,1001380,bridge,A,Bala Nagar Bridge,23.9397914928366,90.7099972916905,0.0030000000000001137
N1,1001382,link,,Daudkandi bridge,23.5307771,90.7090278,0.07500000000000284
N207,1001383,bridge,A,CODUPUR BOX CULVERT,24.4253464277419,91.7587345690322,0.0049999999999954525
N102,1001384,bridge,A,MUDOBPUR CULVERT,23.7097447107142,91.0569570697368,0.04700000000000415
N207,1001385,link,,Box Culvert,24.4261104,91.7588333,0.03999999999999915
N208,1001386,link,,Bridge start,24.7172493,91.9283327,0.036999999999999034
N105,1001387,link,,"Gazipur 13 km,Mymensingh 98 km,Bangabandhu Bridge 94 km",23.9395552,90.4401663,0.0660000000000025
N207,1001388,link,,Sylhet 68 km,24.4276104,91.759,0.0449999999999946
N2,1001389,link,,Box culvert,23.9427774,90.7099444,0.017000000000003013
N208,1001390,link,,Bridge end,24.718416,91.9283049,0.0030000000000001137
N102,1001391,bridge,A,MIRPUR CULVERT,23.7111220035714,91.058573425,0.00999999999999801
N104,1001392,link,,Km post missing,22.9274438,91.1035556,0.045000000000001705
N2,1001393,bridge,A,KARAR CHAR CULVERT,23.9433782305555,90.7101259086419,0.015000000000000568
N1,1001394,link,,Start of Comilla road Division / Start of Comilla road Division,23.5313882,90.7153611,0.02499999999999858
N102,1001395,link,,Box Culvert,23.7117222,91.0592778,0.00999999999999801
N102,1001396,link,,BBaria34 km Sylhet212 km,23.7118333,91.0593889,0.026000000000003354
N105,1001397,bridge,A,JUGITALA,23.9413308513317,90.4378418447941,0.04399999999999693
N104,1001398,bridge,B,MAMZAN BIBO BOX CULVERT,22.9256782339622,91.1032458267924,0.07700000000000529
N208,1001399,link,,Km post missing,24.7210271,91.9288327,0.0379999999999967
N208,1001400,link,,Rail Road Crossing,24.7212771,91.9288882,0.030999999999998806
N2,1001402,link,,Box culvert,23.9456108,90.7108333,0.021000000000000796
N105,1001403,link,,Pipe Culvert,23.9426108,90.4361663,0.006000000000000227
N2,1001404,bridge,A,KARAR CHAR CULVERT (2),23.9461092865168,90.7111084978549,0.054999999999999716
N102,1001405,link,,Road to Bancharampura(Z1041),23.7142222,91.0624444,0.10999999999999943
N106,1001406,bridge,A,THANDA SORI,22.555958752855,92.0267886431918,0.007000000000005002
N1,1001407,link,,Road to Matlab (Z1062),23.5314716,90.7172216,0.0009999999999976694
N207,1001408,bridge,B,NETOR SOR BOX CULVERT,24.4324327298136,91.7599885793478,0.018000000000000682
N102,1001409,bridge,A,MURPUR BOX,23.7144097669724,91.0626727449541,0.006000000000000227
N104,1001410,link,,Bridge start,22.9226938,91.1027222,0.03999999999999915
N1,1001411,link,,Bridge start,23.5315271,90.7173604,0.012999999999998124
N104,1001412,link,,Bridge end,22.9225271,91.1026667,0.006999999999997897
N1,1001413,link,,Bridge end,23.5315827,90.7176104,0.010000000000005116
N102,1001414,link,,Bridge start,23.7148611,91.0632222,0.006999999999997897
N207,1001415,link,,Box Culvert,24.433166,91.7601389,0.0020000000000024443
N102,1001416,link,,Bridge End,23.7149444,91.0633056,0.021999999999998465
N1,1001417,link,,Km post missing,23.5317216,90.7180271,0.015999999999998238
N105,1001418,bridge,A,MOGORKHAL,23.9439225614991,90.4337640512776,0.045999999999999375
N208,1001419,link,,Sylhet 21 km,24.7248882,91.9284716,0.012000000000000455
N207,1001420,bridge,B,Mokam Bazar Box Culvert,24.4344581768,91.7606149136,0.05700000000000216
N104,1001421,bridge,B,AKLASPUR CULVERT,22.9210135531914,91.1023406859574,0.02499999999999858
N104,1001422,link,,"Maijdee 6 km,Sonapur 11 km",22.9207216,91.1022778,0.0379999999999967
N207,1001423,link,,Box Culvert,24.4352774,91.7609167,0.034000000000006025
N105,1001424,link,,"Gazipur 12 km,Tangail 70 km,Bangabandhu bridge 93 km",23.9447497,90.4322493,0.06099999999999994
N207,1001425,link,,Sylhet 67 km,24.4361941,91.7612222,0.0449999999999946
N106,1001426,bridge,A,THANDA CHORI SLAB,22.557728795754,92.0307806793557,0.0030000000000001137
N102,1001427,bridge,A,TALIPARA BOX CULVERT,23.7170942278131,91.0659238080679,0.02400000000000091
N102,1001428,link,,Box Culvert,23.71761828556264,91.06656204161358,0.08800000000000097
N102,1001429,link,,BBaria 33 km Sylhet 211 km,23.7177493,91.0667216,0.021999999999998465
N207,1001430,bridge,A,GOMRA CULVERT,24.4373992282051,91.7616406807692,0.0040000000000048885
N105,1001431,bridge,A,MOGORKHAL,23.9459245869257,90.4296521268551,0.02400000000000091
N104,1001432,link,,Box culvert,22.9177771,91.1021944,0.021999999999998465
N1,1001433,link,,Box culvert,23.5322346,90.7226298386,0.007999999999995566
N207,1001434,link,,Box Culvert,24.4381941,91.7619167,0.03900000000000148
N105,1001435,link,,Box Culvert,23.946333,90.4287493,0.003999999999997783
N2,1001436,link,,Box culvert,23.95291648764045,90.71486652757916,0.018000000000000682
N208,1001437,bridge,A,KALPARA BOX CULVERT,24.7299004437238,91.9274023165271,0.059000000000004604
N2,1001438,bridge,A,NAGOR BARI CULVERT,23.9534068022471,90.7151372139938,0.0009999999999976694
N2,1001439,link,,Sylhet 191 km,23.9536111,90.71525,0.02499999999999858
N1,1001440,bridge,C,Baldhakhal Bridge,23.5324186,90.7242807234,0.03800000000000381
N106,1001442,bridge,A,THANDA CHORI,22.5593320279411,92.03388754375,0.007999999999995566
N105,1001443,bridge,A,MONGLEKHAN,23.9469564729428,90.4271704026499,0.060000000000002274
N2,1001444,link,,Box culvert,23.9556111,90.7163333,0.14699999999999847
N2,1001445,bridge,A,PATUAR PAR CULVERT,23.9561707439089,90.7166429961178,0.07000000000000028
N1,1001446,link,,Km post missing,23.5327216,90.7269993,0.018000000000000682
N207,1001447,bridge,A,GOMRA CULVERT,24.4420875409506,91.761389928702,0.0030000000000001137
N208,1001448,link,,Box culvert,24.7332216,91.9266938,0.011000000000002785
N208,1001449,link,,Sylhet 20 km,24.7336386,91.9265271,0.04399999999999693
N102,1001450,bridge,B,MOKIMPUR RCC GRIDER BRIDGE,23.7214400894736,91.0713290078947,0.02400000000000091
N207,1001451,link,,Box Culvert,24.4429163,91.7612778,0.017000000000003013
N105,1001452,bridge,A,MADANPUR,23.9479826676429,90.4245716433751,0.00999999999999801
N104,1001453,link,,"Maijdee 5 km,Sonapur 10 km",22.9116667,91.102,0.0589999999999975
N102,1001454,link,,Bridge start,23.7219993,91.0720271,0.009000000000000341
N102,1001455,link,,Bridge End,23.722166,91.072166,0.026000000000003354
N1,1001456,bridge,B,MAIS PARA BOX CULVERT,23.5317587831999,90.7291780095,0.04999999999999716
N105,1001457,link,,Km post missing,23.9484719,90.4233327,0.020000000000003126
N207,1001458,link,,Sylhet 66 km,24.4450274,91.7614167,0.0449999999999946
N104,1001459,bridge,D,BARIPOLE BOX,22.9097675528695,91.101540877913,0.0660000000000025
N106,1001460,bridge,D,RANIRHAT BRIDGE,22.563634790773,92.037962580798,0.015999999999998238
N2,1001462,link,,Box culvert,23.95980842931727,90.71865602088354,0.036999999999999034
N102,1001463,link,,BBaria 32 km Sylhet 210 km,23.7235271,91.0741104,0.02200000000000557
N2,1001464,bridge,A,BARAITULA BUSTANT CULVERT,23.9603680732262,90.7189657170013,0.047999999999994714
N207,1001465,bridge,A,pOLISHHIW RD,24.4470836140672,91.761556406422,0.045999999999999375
N208,1001466,bridge,B,KUTALPUR BAZER,24.7385651742105,91.9246244167368,0.08600000000000563
N207,1001468,link,,Box Culvert,24.4478886,91.7616111,0.006000000000000227
N2,1001469,link,,Km post missing,23.9615833,90.7196382,0.013999999999995794
N102,1001470,bridge,A,KalaMoira Bridge,23.724717610204,91.0759599153061,0.02499999999999858
N105,1001472,bridge,A,BOGRA,23.9490639294372,90.4188995177489,0.04700000000000415
N104,1001473,link,,Box culvert,22.9066111,91.1007778,0.012000000000000455
N102,1001474,link,,Start road Division B. Baria / Start road Division B. Baria,23.7250827,91.0765271,0.00999999999999801
N102,1001475,link,,Bridge start / Bridge End,23.7255549,91.077166,0.04200000000000159
N207,1001476,bridge,D,GOMRA BOX CULVERT,24.449320990909,91.7617664030303,0.013999999999995794
N2,1001477,link,,Box culvert,23.9634167,90.7206382,0.0800000000000054
N207,1001478,link,,Box Culvert,24.4501944,91.7618611,0.01999999999999602
N2,1001479,bridge,B,SAYED NAGAR CULVERT,23.9639584596899,90.7209383751938,0.04800000000000182
N106,1001480,bridge,C,RANIRHAT ARCH MASONRY,22.5684408152941,92.0398071417647,0.031999999999996476
N1,1001481,link,,Km post missing,23.528916,90.7356108,0.011000000000002785
N208,1001482,link,,Bridge start,24.7416941,91.923416,0.008000000000002672
N105,1001483,bridge,A,BOGRA-2,23.9494478437229,90.4160247248917,0.01999999999999602
N208,1001484,link,,Km post missing / Bridge end,24.7425552,91.9231382,0.030000000000001137
N104,1001485,bridge,A,KABOWA BAZAR BOX CULVERT,22.9033930767441,91.0999670297674,0.054000000000002046
N2,1001486,link,,Box culvert,23.9654722,90.7217771,0.03499999999999659
N104,1001487,link,,"Maijdee 4 km,Sonapur 9 km",22.9028611,91.099833,0.026000000000003354
N105,1001488,link,,Rail Road Crossing,23.9496663,90.4143889,0.02400000000000091
N106,1001489,bridge,B,RANIARAT ARCH,22.5701004150375,92.040662581203,0.006999999999997897
N2,1001490,bridge,A,SAYEA NAGAR (2) CULVERT,23.9659905115234,90.722087436914,0.008000000000002672
N208,1001491,bridge,B,Kutalpur Bridge,24.7440140336192,91.9226249174957,0.03499999999999659
N105,1001493,link,,Km post missing,23.9499163,90.4136667,0.026000000000003354
N207,1001494,link,,Sylhet 65 km,24.4538611,91.7623333,0.0449999999999946
N207,1001495,bridge,A,JOGANNATHPUR BOX CULVERT,24.4541704522727,91.7623701295454,0.035000000000003695
