road,id,model_type,condition,name,lat,lon,length
N1,1001632,link,,Bridge end,21.2677493,92.109,0.02600000000001046
N1,1001633,bridge,C,EJILA,21.2676412724612,92.1091529913941,0.01999999999998181
N1,1001634,bridge,C,HIZOLIA BRIDGE,21.2671335430292,92.1098720509466,0.09400000000005093
N1,1001635,bridge,C,MODDO RAJAPALONG,21.2655833478485,92.1120674774526,0.2869999999999777
N1,1001636,link,,Box Culvert,21.2646111,92.1134444,0.18000000000000682
N1,1001637,link,,"Teknaf 57 km,Uthia 3 km",21.2641111,92.1140833,0.08999999999997499
N1,1001638,link,,Bridge start,21.2639722,92.1141944,0.014000000000010004
N1,1001639,link,,Bridge end,21.2637222,92.1144722,0.045000000000015916
N1,1001640,link,,Bridge start,21.2623611,92.1161667,0.23399999999998045
N1,1001641,link,,Bridge end,21.26225,92.1163056,0.018000000000029104
N1,1001642,bridge,C,JADIMURA BRIDGE,21.2600473697902,92.1189860875524,0.37299999999999045
N1,1001643,bridge,A,JADI MORA (2) CULVERT,21.2586242226573,92.1207179843356,0.24099999999998545
N1,1001644,link,,"Teknaf 56 km,Uthia 2 km",21.2580278,92.1214438,0.10099999999999909
N1,1001645,bridge,A,JADIMORA (3),21.2570550964285,92.1224165035714,0.14800000000002456
N1,1001646,link,,Bridge start,21.2565556,92.122916,0.07599999999996498
N1,1001647,link,,Bridge end,21.2565,92.1229716,0.013000000000033651
N1,1001648,bridge,A,JADIMORA (1),21.2552064351464,92.1243872108786,0.20999999999997954
N1,1001649,link,,Box culvert,21.2550278,92.1245827,0.028999999999996362
N1,1001650,bridge,C,WEST OGALA,21.2538028,92.12659709,0.24500000000000455
N1,1001651,link,,Box culvert,21.2537778,92.1266382,0.0049999999999954525
N1,1001652,link,,"Teknaf 55 km,Uthia 1 km",21.2521944,92.1286104,0.27600000000001046
N1,1001653,link,,Box culvert,21.2521111,92.1287493,0.016999999999995907
N1,1001654,link,,Bridge start,21.2504722,92.1307493,0.12000000000000455
N1,1001655,bridge,C,OKYIA STATION,21.2504537,92.1307493,0.029999999999972715
N1,1001656,link,,Bridge end,21.2504167,92.1307493,0.060000000000002274
N1,1001657,bridge,C,UKLIA-SHAHABMARKAT,21.2489644871959,92.1328410912932,0.48600000000004684
N1,1001658,link,,Bridge start,21.248083,92.1341108,0.2949999999999591
N1,1001659,link,,Bridge end,21.2479997,92.1342219,0.013000000000033651
N1,1001660,link,,Teknaf 54 km,21.2462219,92.1364719,0.04099999999999682
N1,1001661,bridge,B,UKHIYA BAZAR,21.2457262593333,92.1373042073333,0.10099999999999909
N1,1001662,link,,"Z1503, Maricha Dukbanglow road",21.2447497,92.1389441,0.19900000000001228
N1,1001663,link,,Bridge start,21.242333,92.1413608,0.38299999999998136
N1,1001664,link,,Bridge end,21.2422219,92.1415552,0.02199999999999136
N1,1001665,link,,Teknaf 53 km,21.2412497,92.1440552,0.3020000000000209
N1,1001666,link,,Teknaf 52 km,21.2357774,92.1511667,0.9799999999999613
N1,1001667,link,,Teknaf 51km,21.236333,92.1586667,0.9980000000000473
N1,1001668,bridge,A,P. F PARA SLAB,21.2308784786138,92.1607571460396,0.6909999999999741
N1,1001669,bridge,C,KUTUB PALONG,21.2293155332673,92.1613561450495,0.19799999999997908
N1,1001670,link,,Teknaf 50 km,21.2283604,92.1617222,0.12100000000003774
N1,1001671,link,,Box culvert,21.2261382,92.1611667,0.26499999999998636
N1,1001672,link,,Box culvert,21.2243327,92.1614444,0.20900000000000318
N1,1001673,bridge,B,KUTU - PALONG MOSZID SLAB,21.2215199757575,92.1617032590909,0.32799999999997453
N1,1001674,link,,Info.Missing,21.2198049,92.1618611,0.19999999999998863
N1,1001675,bridge,C,KOSHO - BINNA - BRIDGE,21.218960082,92.162077758,0.10400000000004184
N1,1001676,bridge,C,KASHO - BINNAI SLAB,21.21737604825,92.16248399175,0.19499999999999318
N1,1001677,link,,Box culvert,21.2165556,92.1626944,0.10099999999999909
N1,1001678,bridge,A,KATU PALLANG SLAB,21.2160115861386,92.1636641564356,0.1290000000000191
N1,1001679,link,,Box culvert,21.2152778,92.1649722,0.17399999999997817
