Road;Scenario;Seed;Average_driving_time;Total_waiting_time;Average_waiting_time
N1;7;1234567;0.0;22793;0.0
N1;7;1234567;0.0;22886;0.0
N1;7;1234567;0.0;22981;0.0
N1;7;1234567;0.0;23074;0.0
N1;7;1234567;0.0;23167;0.0
N1;7;1234567;0.0;23261;0.0
N1;7;1234567;0.0;23355;0.0
N1;7;1234567;0.0;23451;0.0
N1;7;1234567;0.0;23547;0.0
N1;7;1234567;0.0;23644;0.0
N1;7;1234567;0.0;23740;0.0
N1;7;1234567;0.0;23837;0.0
N1;7;1234567;0.0;23934;0.0
N1;7;1234567;0.0;24032;0.0
N1;7;1234567;0.0;24130;0.0
N1;7;1234567;0.0;24226;0.0
N1;7;1234567;0.0;24322;0.0
N1;7;1234567;0.0;24418;0.0
N1;7;1234567;0.0;24514;0.0
N1;7;1234567;0.0;24609;0.0
N1;7;1234567;0.0;24703;0.0
N1;7;1234567;0.0;24798;0.0
N1;7;1234567;0.0;24895;0.0
N1;7;1234567;0.0;24994;0.0
N1;7;1234567;0.0;25091;0.0
N1;7;1234567;0.0;25186;0.0
N1;7;1234567;0.0;25281;0.0
N1;7;1234567;0.0;25377;0.0
N1;7;1234567;0.0;25475;0.0
N1;7;1234567;0.0;25574;0.0
N1;7;1234567;0.0;25673;0.0
N1;7;1234567;0.0;25772;0.0
N1;7;1234567;0.0;25873;0.0
N1;7;1234567;0.0;25976;0.0
N1;7;1234567;0.0;26078;0.0
N1;7;1234567;0.0;26180;0.0
N1;7;1234567;0.0;26282;0.0
N1;7;1234567;0.0;26386;0.0
N1;7;1234567;0.0;26488;0.0
N1;7;1234567;0.0;26590;0.0
N1;7;1234567;0.0;26692;0.0
N1;7;1234567;0.0;26794;0.0
N1;7;1234567;0.0;26899;0.0
N1;7;1234567;0.0;27003;0.0
N1;7;1234567;0.0;27105;0.0
N1;7;1234567;0.0;27206;0.0
N1;7;1234567;0.0;27306;0.0
N1;7;1234567;0.0;27408;0.0
N1;7;1234567;0.0;27511;0.0
N1;7;1234567;0.0;27612;0.0
N1;7;1234567;0.0;27714;0.0
N1;7;1234567;0.0;27816;0.0
N1;7;1234567;0.0;27919;0.0
N1;7;1234567;0.0;28023;0.0
N1;7;1234567;0.0;28123;0.0
N1;7;1234567;0.0;28222;0.0
N1;7;1234567;0.0;28321;0.0
N1;7;1234567;0.0;28424;0.0
N1;7;1234567;0.0;28526;0.0
N1;7;1234567;0.0;28628;0.0
N1;7;1234567;0.0;28729;0.0
N1;7;1234567;0.0;28829;0.0
N1;7;1234567;0.0;28928;0.0
N1;7;1234567;0.0;29028;0.0
N1;7;1234567;0.0;29128;0.0
N1;7;1234567;0.0;29228;0.0
N1;7;1234567;0.0;29327;0.0
N1;7;1234567;0.0;29431;0.0
N1;7;1234567;0.0;29536;0.0
N1;7;1234567;0.0;29640;0.0
N1;7;1234567;0.0;29745;0.0
N1;7;1234567;0.0;29850;0.0
N1;7;1234567;0.0;29954;0.0
N1;7;1234567;0.0;30058;0.0
N1;7;1234567;0.0;30164;0.0
N1;7;1234567;0.0;30268;0.0
N1;7;1234567;0.0;30373;0.0
N1;7;1234567;0.0;30480;0.0
N1;7;1234567;0.0;30588;0.0
N1;7;1234567;0.0;30697;0.0
N1;7;1234567;0.0;30806;0.0
N1;7;1234567;0.0;30915;0.0
N1;7;1234567;0.0;31024;0.0
N1;7;1234567;0.0;31134;0.0
N1;7;1234567;0.0;31244;0.0
N1;7;1234567;0.0;31353;0.0
N1;7;1234567;0.0;31463;0.0
N1;7;1234567;0.0;31575;0.0
N1;7;1234567;0.0;31686;0.0
N1;7;1234567;0.0;31798;0.0
N1;7;1234567;0.0;31908;0.0
N1;7;1234567;0.0;32018;0.0
N1;7;1234567;0.0;32129;0.0
N1;7;1234567;0.0;32239;0.0
N1;7;1234567;0.0;32350;0.0
N1;7;1234567;0.0;32459;0.0
N1;7;1234567;0.0;32569;0.0
N1;7;1234567;0.0;32680;0.0
N1;7;1234567;0.0;32790;0.0
N1;7;1234567;0.0;32901;0.0
N1;7;1234567;0.0;33011;0.0
N1;7;1234567;0.0;33119;0.0
N1;7;1234567;0.0;33229;0.0
N1;7;1234567;0.0;33338;0.0
N1;7;1234567;0.0;33448;0.0
N1;7;1234567;0.0;33559;0.0
N1;7;1234567;0.0;33669;0.0
N1;7;1234567;0.0;33780;0.0
N1;7;1234567;0.0;33893;0.0
N1;7;1234567;0.0;34005;0.0
N1;7;1234567;0.0;34116;0.0
N1;7;1234567;0.0;34228;0.0
N1;7;1234567;0.0;34340;0.0
N1;7;1234567;0.0;34452;0.0
N1;7;1234567;0.0;34564;0.0
N1;7;1234567;0.0;34675;0.0
N1;7;1234567;0.0;34787;0.0
N1;7;1234567;0.0;34897;0.0
N1;7;1234567;0.0;35006;0.0
N1;7;1234567;0.0;35114;0.0
N1;7;1234567;0.0;35223;0.0
N1;7;1234567;0.0;35331;0.0
N1;7;1234567;0.0;35442;0.0
N1;7;1234567;0.0;35554;0.0
N1;7;1234567;0.0;35667;0.0
N1;7;1234567;0.0;35781;0.0
N1;7;1234567;0.0;35895;0.0
N1;7;1234567;0.0;36011;0.0
N1;7;1234567;0.0;36126;0.0
N1;7;1234567;0.0;36242;0.0
N1;7;1234567;0.0;36359;0.0
N1;7;1234567;0.0;36476;0.0
N1;7;1234567;0.0;36594;0.0
N1;7;1234567;0.0;36714;0.0
N1;7;1234567;0.0;36834;0.0
N1;7;1234567;0.0;36956;0.0
N1;7;1234567;0.0;37077;0.0
N1;7;1234567;0.0;37198;0.0
N1;7;1234567;0.0;37319;0.0
N1;7;1234567;0.0;37441;0.0
N1;7;1234567;0.0;37563;0.0
N1;7;1234567;0.0;37684;0.0
N1;7;1234567;0.0;37805;0.0
N1;7;1234567;0.0;37926;0.0
N1;7;1234567;0.0;38046;0.0
N1;7;1234567;0.0;38166;0.0
N1;7;1234567;0.0;38285;0.0
N1;7;1234567;0.0;38405;0.0
N1;7;1234567;0.0;38524;0.0
N1;7;1234567;0.0;38643;0.0
N1;7;1234567;0.0;38763;0.0
N1;7;1234567;0.0;38882;0.0
N1;7;1234567;0.0;39003;0.0
N1;7;1234567;0.0;39125;0.0
N1;7;1234567;0.0;39248;0.0
N1;7;1234567;0.0;39371;0.0
N1;7;1234567;0.0;39494;0.0
N1;7;1234567;0.0;39618;0.0
N1;7;1234567;0.0;39742;0.0
N1;7;1234567;0.0;39864;0.0
N1;7;1234567;0.0;39985;0.0
N1;7;1234567;0.0;40105;0.0
N1;7;1234567;0.0;40227;0.0
N1;7;1234567;0.0;40348;0.0
N1;7;1234567;0.0;40471;0.0
N1;7;1234567;0.0;40594;0.0
N1;7;1234567;0.0;40715;0.0
N1;7;1234567;0.0;40841;0.0
N1;7;1234567;0.0;40966;0.0
N1;7;1234567;0.0;41091;0.0
N1;7;1234567;0.0;41214;0.0
N1;7;1234567;0.0;41337;0.0
N1;7;1234567;0.0;41461;0.0
N1;7;1234567;0.0;41583;0.0
N1;7;1234567;0.0;41708;0.0
N1;7;1234567;0.0;41831;0.0
N1;7;1234567;0.0;41955;0.0
N1;7;1234567;0.0;42079;0.0
N1;7;1234567;0.0;42202;0.0
N1;7;1234567;0.0;42327;0.0
N1;7;1234567;0.0;42453;0.0
N1;7;1234567;0.0;42579;0.0
N1;7;1234567;0.0;42706;0.0
N1;7;1234567;0.0;42832;0.0
N1;7;1234567;0.0;42957;0.0
N1;7;1234567;0.0;43082;0.0
N1;7;1234567;0.0;43208;0.0
N1;7;1234567;0.0;43333;0.0
N1;7;1234567;0.0;43457;0.0
N1;7;1234567;0.0;43582;0.0
N1;7;1234567;0.0;43709;0.0
N1;7;1234567;0.0;43839;0.0
N1;7;1234567;0.0;43969;0.0
N1;7;1234567;0.0;44096;0.0
N1;7;1234567;0.0;44222;0.0
N1;7;1234567;0.0;44347;0.0
N1;7;1234567;0.0;44475;0.0
N1;7;1234567;0.0;44603;0.0
N1;7;1234567;0.0;44729;0.0
N1;7;1234567;0.0;44853;0.0
